0	1	a	Wes Welker Wanted Dinner With Tom Brady, But Patriots QB Had Better Idea
1	0	a	NASA sets date for full recovery of ozone hole
2	0	a	This is what makes employees happy -- and it's not their paycheck
3	2	a	Passion is overrated -7 work habits you need instead
4	0	a	The perfect way to cook rice so that it's perfectly fluffy and NEVER sticks to the pan
5	1	a	What happens if your new AirPods get lost or stolen, will Apple do anything?
6	1	a	The Reason Why Gabor Kiraly Wears THOSE Trackie Bottoms
7	1	a	You'll Never Believe What This Family Saw in the Sky Outside Their House in Finland.
8	1	a	Should you drink Red Wine?
9	2	a	Hot Sauce Taste Test: Find out which we named number 1
10	0	a	Analysis: This may be the most brutal number in the CBO report
11	0	a	#TeenMom2 star @PBandJenelley_1 reveals the sex of her second child through social media
12	0	a	You're probably missing out on this major way to save money
13	1	a	Target's $20 million answer to transgender bathroom boycott
14	1	a	China invited a reporter to hit their new glass bridge with a sledgehammer to prove it's safe. He proved something.
15	1	a	Instagram Just Killed This Feature
16	1	a	Subways are full of bacteria, but here's why you shouldn't freak out
17	1	a	This Theory Explains Why Harry Doesn't Have A Lot Of Gryffindor Friends
18	1	a	VW fixed the problem of dirty backup cameras with this simple technology
19	1	a	The True Meaning Of "Macarena" Will Horrify Every '90s Kid
20	2	a	Human remains found in the search for missing teen
21	1	a	Gwyneth Paltrow says parabens, formaldehyde, aluminum dangerous in cosmetics. Guess what she's selling in her online store?
22	1	a	An unbearable provocation.
23	1	a	Bad news for "Pirates of the Caribbean" fans
24	1	a	Tom Hiddleston finally reveals the truth about his romance with Taylor Swift
25	0	a	The deadliest animal in the U.S. may surprise you
26	1	a	McDonalds' REFUSES To Serve Cop's Family, What Happened Next Will Make You HOWL
27	1	a	Snapchat users are going to totally freak out over this major change
28	1	a	Are you a young person thinking of entering politics?
29	1	a	What the Hell Was That 'S' Thing Everyone Drew in School?
30	0	a	The cheapest place for a last-minute half-term holiday
31	0	a	Google paid HOW MUCH in overseas taxes!?
32	0	a	He Brings His Girlfriend To The Hospital To Deliver Quintuplets But Gets A Huge Surprise Instead
33	0	a	Easily Stressed People Are Mentally Healthier After Writing This Down. See How The Trick Works.
34	1	a	Marijuana Users Are Taking Pictures of This Number on Their Hand for an Important Reason
35	0	a	The summer's 1st real rom-com's about abortion and fart jokes
36	0	a	THIS IS NOT A DRILL: you could work for Kate Middleton !!
37	1	a	Is student loan debt really stopping people from buying homes?
38	0	a	This Is What Bill Clinton Will Actually Be Called If Hillary Becomes President
39	1	a	Why you shouldn't drive slowly in the left lane
40	1	a	You Won't Believe What Bill Cosby Is Trying to Get His Accuser to Do
41	1	a	@kelly_clarkson responds to cheating rumors
42	1	a	Leonardo DiCaprio did the most Leonardo DiCaprio thing ever this past weekend weekend:
43	2	a	Six lessons from the godfather of California cuisine
44	2	a	The Fastest Growing Economy in the World! Number 4 Will Shock You
45	0	a	Trouble getting job interviews? Start breaking the rules
46	0	a	What This Huge Spider Does When It Sees A Laser Pointer Will Terrify You
47	0	a	The first black woman to win Olympic gold has died (PHOTOS)
48	0	a	This man went missing and was found inside a python
49	1	a	Rahul Gandhi tweeted about his #vacation and this is what followed
50	1	a	You Won't Believe What Ivanka Trump Does in the Morning
51	0	a	Mila Kunis &amp; @aplusk look pretty good walking down the aisle...
52	0	a	"One of the last of Hollywood royalty."
53	1	a	THE BIG FAILURE THAT HILLARY KEPT SECRET FOR 30 YEARS
54	0	a	The crash test of this vehicle is "among the worst" ever seen:
55	0	a	Which high school sport has the highest rate of shoulder injuries?
56	0	a	Dick Van Dyke Breaks Political Silence: Defiantly Endorses This Presidential Candidate
57	1	a	What took @iamrashidajones "a long time" to "be OK with"
58	1	a	Nation's strictest smoking ban goes into effect
59	0	a	You'll Never Guess How Much Money It Costs to Host the Summer Olympics
60	1	a	Terminally ill woman does something incredible at a @Kmart
61	2	a	Doctors reveal the 5 most common Pokemon Go injuries - and how to avoid them
62	0	a	ISIS just banned burkas - and you won't believe why
63	2	a	Is a rare birth defect actually helping American breaststrokers?
64	1	a	How Moby begins every single morning
65	1	a	Here's a key reason why all of your millennial employees are quitting
66	1	a	Should You Leave Your Laptop Plugged in All the Time?
67	2	a	11 Simple Weight Loss Strategies For Fruitful Results
68	1	a	Is juice worse for you than soda? Here's the juicy truth.
69	2	a	Why Humans Will Never Live Off Sunlight
70	1	a	Why are we so passionate about the smiling poop emoji?
71	0	a	One Rock Legend Really, Really Wants To Be In Guardians Of The Galaxy 3
72	2	a	If you have any of these symptoms you may have an anxiety disorder
73	0	a	This Fox News host is "tired of atheists"
74	0	a	These Streetlights Are Great For The Planet - But Horrible For Your Health
75	2	a	10 bizarre claims people make to avoid paying taxes
76	0	a	The World's Most Popular Birth Control Method May Surprise You
77	0	a	Utah had the nation's highest rate of mental illness and you'll never guess the lowest:
78	2	a	Unarmed teen shot dead by police on university campus
79	2	a	How to survive a Nuclear War, just in case
80	2	a	2,000 years later, scientists finally know what's in these charred Roman scrolls
81	0	a	Here's the reason United Airlines can kick you off your flight
82	1	a	A USA Today Investigation That Should Surprise Nobody
83	0	a	How Farmers Markets Can Help Fight Hunger
